Provider ID,Number of Appearances,Reachable,IP Address
12D3KooWCMMw5BKA5XHDJiuFitwparaYbMkidmxTCsJa8vXjt3yW,255,True,145.40.96.83
12D3KooWQYb2nGCfqq4krBSZFRiFwjwZ8fjxsVpeMeGZoCJHR8Ch,72,True,147.75.108.145
QmQzqxhK82kAmKvARFZSkUVS6fo9sySaiogAnx5EnZ6ZmC,208,False,
12D3KooWJXVWMbcxGh2jkPiw3pjZTmB78jSQja3ke7n6vQ1y2Jdi,252,True,139.178.88.247
12D3KooWHVXoJnv2ifmr9K6LWwJPXxkfvzZRHzjiTZMvybeTnwPy,250,True,145.40.89.101
12D3KooWCrBiagtZMzpZePCr1tfBbrZTh4BRQf7JurRqNMRi8YHF,253,True,147.75.87.65
12D3KooWRNijznEQoXrxBeNLb2TqbSFm8gG8jKtfEsbC1C9nPqce,252,True,147.75.87.211
12D3KooWMkWC6PyUcpV5Ke65RV5BkKbqVkfcx35XzmSvFuvP3xxa,1,True,172.18.0.11
12D3KooWPzJxqGQWfaNqR9ft66e5c6NoBhDezXogLHeJQgD62Gvf,194,True,147.75.85.127
12D3KooWQHS83N7ykf2pJMBSjsDMtyv5MrEukHdoiCJke2e6GjFf,17,True,139.178.88.175
12D3KooWDpp7U7W9Q8feMZPPEpPP5FKXTUakLgnVLbavfjb9mzrT,14,True,147.75.80.75
QmY7JB6MQXhxHvq7dBDh4HpbH29v4yE9JRadAVpndvzySN,4,True,145.40.96.73
12D3KooWCPjVv1qZEy8twPUK9fzEvNSF3JxY7zwAFGzybsm2J2cP,4,True,145.40.69.211
12D3KooWLSMVRxtFrRWofS6MjysgWnPh7iiFEGYeEAeBQceNrf4G,4,True,147.75.108.191
12D3KooWLsSWaRsoCejZ6RMsGqdftpKbohczNqs3jvNfPgRwrMp2,4,True,147.75.81.81
12D3KooWP9wsCMRavRWNy6vqNm96U9yommLtPLcqP3YqyK7Mc7xm,1,True,34.236.67.6
12D3KooWGGyvEomXVi5YHqXdfGHx1GKHjVrUo313pWCs5uSfkoHK,2,True,147.75.50.75
12D3KooWSafoW6yrSL7waghFAaiCqGy5mdjpQx4jn4CRNqbG7eqG,1,True,147.75.84.173
12D3KooWDLJo7YWXrJbp5HKf1Qxfqk1Un1vuis7xEKT4mUak3WmW,3,True,185.73.44.145
12D3KooWCFnN91dM6xeiwxpgMVak9Zd2i4GwPtSj2RxurgEo6oXz,1,False,
12D3KooWGwZpDFN47VSLoNJJGda9oyvYJ9Pgz7Bdnmki2uj1wYwX,1,True,45.77.34.141
12D3KooWMPcBfHHJURuDWBzXriBqf9pFWrrwXhJUbs14wMK4LEm6,1,True,193.11.114.84
12D3KooWMcYfjmv3u6kvxHzx4mpXrCKMaxaiQwRPeYYSEBe3HRJt,1,False,
12D3KooWP4qjCAV3RT6taJS51CGVXAuqTTeLukzUdX4PPuDVaFYS,2,True,94.130.177.126
12D3KooWCUGvpWnmmUh8StxKinECk2vrKRmyMMob5oyN63s1aQiB,1,True,45.55.43.156
12D3KooWFtPWZ1uHShnbvmxYJGmygUfTVmcb6iSQfiAm4XnmsQ8t,1,True,45.32.196.94
